,caltech101_num_classes_102_num_dev_examples_8328_num_test_examples_816_resolution_256_num_channels_3_original,caltech_birds2010_num_classes_200_num_dev_examples_5433_num_test_examples_600_resolution_256_num_channels_3_original,cifar100_num_classes_100_num_dev_examples_54000_num_test_examples_6000_resolution_32_num_channels_3_original,cifar10_1_num_classes_10_num_dev_examples_1821_num_test_examples_200_resolution_32_num_channels_3_original,cifar10_num_classes_10_num_dev_examples_54000_num_test_examples_6000_resolution_32_num_channels_3_original,citrus_leaves_num_classes_4_num_dev_examples_538_num_test_examples_56_resolution_256_num_channels_3_original,colorectal_histology_num_classes_8_num_dev_examples_4504_num_test_examples_496_resolution_128_num_channels_3_original,cycle_gan_facades_num_classes_2_num_dev_examples_912_num_test_examples_100_resolution_256_num_channels_3_original,cycle_gan_summer2winter_yosemite_num_classes_2_num_dev_examples_2466_num_test_examples_274_resolution_256_num_channels_3_original,default,eurosat_rgb_num_classes_10_num_dev_examples_24300_num_test_examples_2700_resolution_64_num_channels_3_original,fashion_mnist_num_classes_10_num_dev_examples_63000_num_test_examples_7000_resolution_16_num_channels_1_original,imagenette_num_classes_10_num_dev_examples_12064_num_test_examples_1330_resolution_256_num_channels_3_original,malaria_num_classes_2_num_dev_examples_24804_num_test_examples_2754_resolution_128_num_channels_3_original,mnist_num_classes_10_num_dev_examples_63000_num_test_examples_7000_resolution_16_num_channels_1_original,oxford_flowers102_num_classes_102_num_dev_examples_7373_num_test_examples_816_resolution_512_num_channels_3_original,svhn_cropped_num_classes_10_num_dev_examples_567380_num_test_examples_63040_resolution_32_num_channels_3_original,uc_merced_num_classes_21_num_dev_examples_1890_num_test_examples_210_resolution_128_num_channels_3_original,visual_domain_decathlon_daimlerpedcls_num_classes_2_num_dev_examples_29100_num_test_examples_4900_resolution_64_num_channels_3_original,visual_domain_decathlon_dtd_num_classes_47_num_dev_examples_4996_num_test_examples_564_resolution_64_num_channels_3_original,visual_domain_decathlon_ucf101_num_classes_101_num_dev_examples_11915_num_test_examples_1313_resolution_64_num_channels_3_original
caltech101_num_classes_102_num_dev_examples_8328_num_test_examples_816_resolution_256_num_channels_3_original,0.39115824536416127,0.38489708077050855,0.3673389559008565,0.10987074285580953,0.11263680100933324,0.0,0.32621016217839693,0.0,0.2767911865512477,0.374703519156376,0.0,0.3728431403487903,0.3757874481422748,0.30909034648218114,0.2614389328188965,0.38967824429222897,0.24184046292305622,0.2957548093251329,0.33843260984836315,0.0,0.3114291863525553
caltech_birds2010_num_classes_200_num_dev_examples_5433_num_test_examples_600_resolution_256_num_channels_3_original,0.11252888302669044,0.1433623224394605,0.1401065799747952,0.05339352010847019,0.0,0.0,0.06822285599601544,0.0,0.09099797867598758,0.13263091013032252,0.0,0.12296287994375774,0.12324386989015286,0.06364775983154247,0.07752227229388807,0.13524791256947827,0.05775729862400604,0.06538281917529538,0.12786699163780785,0.0,0.1391262275201347
cifar100_num_classes_100_num_dev_examples_54000_num_test_examples_6000_resolution_32_num_channels_3_original,0.32595266980211124,0.30701364256227387,0.3516862892845015,0.1923581197726591,0.3102073705491247,0.32431872683295004,0.2486162170898302,0.0,0.30827039552841196,0.3702249592176367,0.0,0.3323172579295762,0.3138978937949603,0.26919380342912846,0.30724166339254777,0.2889800435597468,0.28795870740006313,0.19170883368649488,0.33912023460202595,0.0,0.23548518833874002
cifar10_1_num_classes_10_num_dev_examples_1821_num_test_examples_200_resolution_32_num_channels_3_original,0.10595624590562709,0.17145423925373615,0.15186868550325347,0.20280601938725695,0.14026457199077194,0.1452235777938371,0.09655783851602825,0.11573159364448742,0.1373937247523096,0.16859512783242264,0.13145765419005065,0.1314492252925122,0.13565985868272004,0.15281386687846796,0.14843186455806373,0.13649864737342,0.13547356198689386,0.1939035574413753,0.14068494649466526,0.196198007725582,0.13485420655121744
cifar10_num_classes_10_num_dev_examples_54000_num_test_examples_6000_resolution_32_num_channels_3_original,0.3361296976164815,0.3216284181730763,0.349317338595435,0.2264509858106404,0.3230481632588006,0.3512851353825977,0.31537039635542813,0.27033060932931796,0.30187259885857176,0.3690540884726023,0.33578387326928155,0.3421851507024284,0.338974542571641,0.332059452928131,0.34090019723292286,0.3017087950556544,0.34413321776727124,0.23755647840187674,0.3372556122943552,0.21784828263496686,0.2709780580087111
citrus_leaves_num_classes_4_num_dev_examples_538_num_test_examples_56_resolution_256_num_channels_3_original,0.5057319579556041,0.5129246559052566,0.583303014790127,0.5105929405758489,0.3329795967247958,0.5563388507747765,0.5419310852532468,0.5546638187227929,0.36338973313177936,0.4771806637415869,0.3427204018865402,0.5356998441505668,0.5501162529195015,0.5636264096265091,0.2591403886077993,0.4704194374123077,0.5118081502407877,0.5043512342935186,0.46820214413012257,0.0,0.549198222952908
colorectal_histology_num_classes_8_num_dev_examples_4504_num_test_examples_496_resolution_128_num_channels_3_original,0.678677619663536,0.7263177404262418,0.7199499577489243,0.6247022838660519,0.6128953678424031,0.7380347630046956,0.7192069113875503,0.673456056694803,0.5985834508919359,0.7059115472164202,0.6396746944005338,0.6608017607811506,0.6915132574593671,0.7297219546608968,0.5945203116916571,0.703915700102638,0.6459373112258708,0.6120428192737052,0.6573575485290359,0.6608340994882722,0.5902494177913711
cycle_gan_facades_num_classes_2_num_dev_examples_912_num_test_examples_100_resolution_256_num_channels_3_original,0.9473713344243265,0.9724707170975211,0.9564814469452518,0.8817994698248439,0.9379293094721228,0.9758096162276019,0.9536808122717639,0.9739490011408869,0.925404688899213,0.9630639223971118,0.934789951348935,0.9536709049122087,0.9430142692292967,0.9626103418230854,0.8737836063999099,0.9344741172535374,0.9339746316468425,0.8506165381554911,0.9527634589941917,0.8974024512947553,0.9462735735403554
cycle_gan_summer2winter_yosemite_num_classes_2_num_dev_examples_2466_num_test_examples_274_resolution_256_num_channels_3_original,0.23656111125511306,0.18386090236421548,0.21563632442284497,0.11246617740507862,0.15771961739439205,0.2352075402621919,0.12228966414690186,0.24616177544542234,0.25537403200925446,0.18962902822989314,0.21925036109099394,0.15659542484651845,0.19528568981371638,0.22013175668083065,0.2399067359659285,0.2166931346108459,0.19993696058431537,0.14108591488406338,0.1891688871725194,0.12608527873880704,0.16689407541429477
eurosat_rgb_num_classes_10_num_dev_examples_24300_num_test_examples_2700_resolution_64_num_channels_3_original,0.5523842491941287,0.5593582892315903,0.5798394266434324,0.41762956355934727,0.5701637528286845,0.5861391611149498,0.5224337125606895,0.5142516362787868,0.5394796049574351,0.5965844783051186,0.5825965830766513,0.5723374235502316,0.588123543983197,0.5829853161427241,0.568958864390001,0.5503142023486496,0.5407631344186485,0.4216029059016214,0.5736832812360977,0.4192997017002472,0.495784410292141
fashion_mnist_num_classes_10_num_dev_examples_63000_num_test_examples_7000_resolution_16_num_channels_1_original,0.7638812833946459,0.7725848488390605,0.7833382337756982,0.624749773845576,0.7379654568221625,0.7745767560194936,0.774352550827098,0.7237377812856548,0.756542209229029,0.7954927240851933,0.7824864180371799,0.7776015156829451,0.771331336096218,0.7636846703059482,0.7717561010718443,0.7495124997403998,0.762119149019145,0.6488848313030964,0.7722517348408926,0.619176916487155,0.6943599040424626
imagenette_num_classes_10_num_dev_examples_12064_num_test_examples_1330_resolution_256_num_channels_3_original,0.30520212483231435,0.3125273050147336,0.31437779886772094,0.22857375662188778,0.23482252612153406,0.34418062625872514,0.2909034455999488,0.3386395748699054,0.23190486214446296,0.33697441575335213,0.2571456178835063,0.3126105902550574,0.34687322392298653,0.32585290529245314,0.215987027348493,0.2815226539489739,0.28027493450096624,0.26883595029779345,0.33443199221476994,0.25363725258783576,0.28827102271641575
malaria_num_classes_2_num_dev_examples_24804_num_test_examples_2754_resolution_128_num_channels_3_original,0.2499496891964404,0.2226531737874184,0.24180787516066266,0.108852199654852,0.24950588054678047,0.2637185292911129,0.21380919108132485,0.2423558827454199,0.21370938497331582,0.21781236975968227,0.24237827107108192,0.2085849866831304,0.2244674867332348,0.2571779719844963,0.19723297237090592,0.22770079873590904,0.21346988004281658,0.1817038339400769,0.2086728492066591,0.08791772540917475,0.1721879190399837
mnist_num_classes_10_num_dev_examples_63000_num_test_examples_7000_resolution_16_num_channels_1_original,0.4552271243512173,0.4504919850112839,0.46321960553251473,0.31954690573205247,0.4276775505062604,0.45255686309460447,0.45598942865077097,0.43596003131282685,0.450791167447942,0.46188084851370725,0.4626638963137686,0.4596351471417443,0.45343311278429504,0.45224121768086095,0.4584722538587343,0.4358691267745452,0.45112618844951663,0.374913881431734,0.45570652172624887,0.3304143184385179,0.3796813543963351
oxford_flowers102_num_classes_102_num_dev_examples_7373_num_test_examples_816_resolution_512_num_channels_3_original,0.24085074718974386,0.22563515005956244,0.24035669960620637,0.04580512669949526,0.10137935247225563,0.14176808844671374,0.20596420069668153,0.0,0.16046125228543306,0.18294328227587625,0.0,0.1751869588955038,0.17803040256044095,0.08053957524985036,0.1259169854003448,0.23036348063634357,0.11580561666077016,0.14875918202653157,0.15664855394750116,0.0,0.14080617567151715
svhn_cropped_num_classes_10_num_dev_examples_567380_num_test_examples_63040_resolution_32_num_channels_3_original,0.019549082033462263,0.003920754156121365,0.019827108351672847,-0.0003447556624479418,0.003341620116246517,0.011333291053778716,0.007192307232210285,0.012680121545625108,0.006366057377371342,0.008443327198122104,0.009125336867118038,0.01577333160702269,0.014418412987542734,0.008937871699908404,0.011236741036927154,0.004533440886303331,0.018202164198475167,0.003084359648580455,0.010269420925848139,0.0,0.00027535173390576137
uc_merced_num_classes_21_num_dev_examples_1890_num_test_examples_210_resolution_128_num_channels_3_original,0.3387072974200779,0.30166714514411525,0.3772576986553583,0.3643525067505879,0.2705817622330802,0.35006876594361225,0.2985880185856747,0.31141352800168026,0.23530132492538075,0.31124147450915945,0.26371538127828603,0.34023892838035874,0.3733192452975367,0.31450990327576145,0.24258116530765741,0.3210093818159196,0.2732092595877483,0.3520138205041871,0.32753711085563303,0.35960352685844466,0.3032174362501164
visual_domain_decathlon_daimlerpedcls_num_classes_2_num_dev_examples_29100_num_test_examples_4900_resolution_64_num_channels_3_original,0.44113978939595955,0.4683513423266744,0.46913782478775745,0.38782128132104104,0.4191431248641904,0.476629437660275,0.46927778577711365,0.4336446902005743,0.4003273201784288,0.5185039239284472,0.4237491137991535,0.4647592686093233,0.4726885168651179,0.4545272316656554,0.39343254690544427,0.4511181031646007,0.4306546292857001,0.37446579642583205,0.4766342887552299,0.39252442519096054,0.4224413179550207
visual_domain_decathlon_dtd_num_classes_47_num_dev_examples_4996_num_test_examples_564_resolution_64_num_channels_3_original,0.145409159306808,0.12711631102461923,0.1261417667497799,0.17377098149779183,0.09792423844190254,0.1265668831931091,0.13654853047638119,0.050373878467737485,0.11580670356746994,0.12613103852505006,0.09135538352757937,0.1309750105546276,0.11613981026112216,0.09348032730804443,0.11996087993335698,0.12230170112163552,0.11020411016316822,0.1716819827614211,0.1327753247809828,0.19037982731287081,0.1401811412830208
visual_domain_decathlon_ucf101_num_classes_101_num_dev_examples_11915_num_test_examples_1313_resolution_64_num_channels_3_original,0.14023104013368665,0.21952565852102662,0.16246963560780364,0.17088812606486,0.19179922228950655,0.14145763768514782,0.20557944247908594,0.0,0.16191194595251987,0.18094415272275186,0.0,0.1724989788095525,0.20474359982546764,0.14411467880269924,0.1239688057191789,0.21325942474696716,0.11479808611721554,0.1716500480396001,0.15855827507625095,0.0,0.2132473615521541
