,Chucky,Hammer,Katze,Kreatur,Munster,Pedro,binary_alpha_digits,caltech101,caltech_birds2010,caltech_birds2011,cats_vs_dogs,cifar100,cifar10,colorectal_histology,deep_weeds,default,eurosat,fashion_mnist,horses_or_humans,mnist
Chucky,0.8273136992050031,0.8200268080074299,0.7856278773520886,0.8020156637478053,0.8166436041043561,0.7496439851629115,0.775569866719146,0.7461980549198597,0.7415426151489177,0.7980389282044367,0.8218405334946401,0.8202902914766572,0.8138484291276693,0.8115031266401844,0.7848250102985083,0.8103609506733032,0.8157174300620754,0.815364111460951,0.7449949705795582,0.8224844236418074
Hammer,0.7905096058253981,0.8346908760324417,0.8188742179755005,0.7609243436550799,0.7877114141556486,0.7472064930132818,0.813606486397072,0.7848227080548233,0.7512150835239653,0.7532197953036591,0.7812431853176544,0.8315111374475256,0.8162879164190626,0.8320751009699847,0.7889953767774401,0.7670521068900488,0.7831024378099103,0.806174720764251,0.8029446734584702,0.7829783004773291
Katze,0.8745940163087493,0.8236565111590626,0.863700154906495,0.848775035594333,0.8683198674962569,0.827517158360197,0.8380752556911348,0.8424768883638205,0.842375902479634,0.8524033759131893,0.833040583977696,0.8763887697535558,0.8319430464658144,0.8421537003070314,0.8317271198692591,0.8631311522732801,0.8273972731937622,0.8609911801809984,0.8640602822839781,0.8681800693448214
Kreatur,0.8628806925597354,0.8252523329620111,0.8585281656737209,0.8474524297991856,0.8828737853070596,0.827169423784486,0.8452131468143331,0.8469238962874905,0.8460338923425532,0.8649489343953134,0.837356106070341,0.8708009248316939,0.8453821445842928,0.8446255091815044,0.8309955115380196,0.8683856684453645,0.8395287780316469,0.8587242958149478,0.868544105593514,0.8738716875948253
Munster,0.982699887360147,0.9805385645568038,0.9803599336694109,0.9797140038515983,0.9829962789636818,0.9688015735173654,0.9756652630895626,0.9555111635098023,0.976058385986551,0.9715979621069805,0.9795754147738386,0.980965966670231,0.9824844189607574,0.9802642179656065,0.9824481263962392,0.9801698713797435,0.9799779085148538,0.979292923236067,0.97737373293261,0.982244771495725
Pedro,0.6474045679391655,0.6501842981747229,0.6816882609309939,0.7015651041944607,0.6601866712515436,0.7051612627666344,0.7186687046766134,0.5012886916201313,0.7270061873094754,0.7159992808671851,0.6487891191793904,0.650282992317336,0.7073229575767306,0.6916232431656366,0.5147388513880833,0.7230337639859378,0.626360444073476,0.7034779936818107,0.6858537284719357,0.6822493602291685
binary_alpha_digits,0.9587437767078205,0.9590584406002749,0.9633551127793293,0.9544315171484378,0.9663705195063764,0.9443597216593878,0.9656779973817662,0.9608607370737451,0.9601309612114642,0.9544071729906392,0.9599586122153697,0.9650610671956693,0.9664980321584065,0.9682981466488227,0.9623819397497979,0.9633263830325649,0.9617694816063143,0.9620167232967887,0.9593024112221672,0.9632510168364524
caltech101,0.8298499926598287,0.8213879407784036,0.8400543001013061,0.8364362424335559,0.8226630431300042,0.7280704378801774,0.8032819678888288,0.8356824693654368,0.815847447673909,0.8252838870245341,0.8260664291284543,0.8358830542277108,0.8292034987770185,0.8422190828454019,0.8190425432898643,0.8260139766854554,0.8152333201575643,0.830178267412091,0.8279912133873667,0.839553749890432
caltech_birds2010,0.5164823217933125,0.48013346244214616,0.5580529544375348,0.5613253424500775,0.5579545619272241,0.45239316583020983,0.5289067821731004,0.5555003564875073,0.5636387066199295,0.5781988035811707,0.5382885431843516,0.572408436739908,0.5555304472583734,0.5765857012372614,0.5076135008388759,0.579085387370055,0.542686465222796,0.5199221243656036,0.5583288656898435,0.5543159996466217
caltech_birds2011,0.6039288518713098,0.5740397338647609,0.600418337380253,0.6008138188460723,0.6143172404457309,0.5171158618421916,0.5993733143314731,0.6118012254130516,0.5812306652290931,0.6024962707932351,0.5880815653482137,0.6072309199327145,0.5983956837271578,0.5821703851155813,0.5872700279035309,0.6022416127561667,0.5913227222964077,0.59533200099377,0.5998849333652678,0.6108159598656684
cats_vs_dogs,0.59148276596738,0.8636820545185326,0.8539201381588619,0.8194280139341357,0.5772378003885156,0.7361265487162943,0.8167596884154115,0.5804671785863615,0.5502443715268466,0.8196732221074023,0.8625380102483945,0.8572981143315019,0.8452743809365938,0.864193069827605,0.8558969017706026,0.8343110548878296,0.8696199087081513,0.8452600644197649,0.8153394040363573,0.5776518442210034
cifar100,0.8813943388553989,0.8732908605515487,0.8580976853598324,0.8625788924310129,0.8762281417216469,0.8077722049686351,0.8387267873397594,0.8071008129871112,0.7955280454908786,0.8569317004478197,0.87644545621215,0.8736082992930552,0.8737311982603331,0.8628905652211405,0.8710083827993811,0.859277392509681,0.8701615269311913,0.8622348567054654,0.8205911502935654,0.8804334219219564
cifar10,0.9224345530815038,0.9123211792337231,0.9163036212423916,0.9147425924904576,0.9178572679473234,0.8670694234617162,0.8867872619607547,0.861953439150285,0.8346677109727064,0.8981424483303633,0.919914670769022,0.9174110208929459,0.914108985098971,0.9029257857653677,0.9190023682354473,0.9127925054650639,0.9038498300846054,0.9221046229354384,0.8648434729120563,0.9165596556681497
colorectal_histology,0.9393773251867966,0.9580198248580466,0.9401038368115193,0.9352671649388743,0.9389140855345062,0.898434151988359,0.9504535351507828,0.940638071837603,0.9260147602177827,0.9091027497023962,0.9409890416845457,0.940507280079621,0.9571910871915895,0.9634092767460416,0.941969978954892,0.9355019460041814,0.9419558148948417,0.9502584963467082,0.9346504686817143,0.9433954516627644
deep_weeds,0.6576413092595395,0.7273382162360155,0.5865300593102717,0.6215654311431538,0.6218294482585923,0.5587669934801943,0.601633992619512,0.6407992729144225,0.582874056183203,0.6034257137147193,0.6585086424806754,0.6776084843647155,0.7046864649515607,0.680586134395842,0.6455874450993608,0.6378437809769659,0.6768342726453029,0.6745228513831922,0.6048174873666119,0.6597064474758414
eurosat,0.9270335130099495,0.9790588118860482,0.9775503781018463,0.9650176160596979,0.9777806183347192,0.9447698867308709,0.9626072956937829,0.9225595808676404,0.9157565030955179,0.9593442072360187,0.9755996167059839,0.9743024016614914,0.9736834388107096,0.977984109247749,0.978283583449441,0.9736259482248236,0.978302983758635,0.9731550080814493,0.9667987320511436,0.9262538455537361
fashion_mnist,0.9601259288350686,0.9571534280529056,0.957623533695829,0.9561955038130302,0.9601682865667032,0.9414557646901166,0.9497568357825648,0.8983700971963703,0.9516663187240507,0.9463530114002566,0.9587044128957627,0.958417882027969,0.9575002370887098,0.9538316857885796,0.9592835932806636,0.9579487621695595,0.9541965459726214,0.9593270038162378,0.9557963933405009,0.9590483859497839
horses_or_humans,0.9466612003476575,0.9491140319141396,0.9528263550602777,0.9183304176970621,0.9411666406373941,0.9202797208403487,0.9232184113050342,0.9533829938098632,0.930769537498856,0.9215776164862726,0.9480422898451426,0.9531645037281875,0.9526457908028558,0.9584999474310567,0.9515890190576519,0.9490100687923245,0.9376341094333436,0.9277597451431483,0.9559076852775208,0.9326422383178657
mnist,0.9739728168917818,0.9717482162241344,0.9739047760109347,0.9697906559782694,0.9741643695207811,0.9562775209164986,0.9697713871022481,0.910179250722965,0.9665907192533083,0.9620644795521155,0.9723128445357784,0.9712528208089275,0.9738507106638741,0.971619931421101,0.9734795566865351,0.9725840158749408,0.9724128048898002,0.9726377225996456,0.9676456308271426,0.974136509481894
Decal,0.8164858385674261,0.8078165508568077,0.8311636338554361,0.8314122657552045,0.8194097522032322,0.8384933149638826,0.8350649926278244,0.8239172980974605,0.8565658328941052,0.8023700206968887,0.7992341240978629,0.8252770511666883,0.817886700457165,0.845873780368108,0.7942365009524015,0.8383062220354176,0.8048503020828303,0.8259877662301027,0.8409034258457483,0.8004718580503971
coil100,0.8561938808963099,0.8215516370450467,0.8096645606915495,0.8694448407307412,0.8619677945493704,0.8186269997832281,0.8104652837072432,0.8364397273612039,0.8509631216447152,0.8688151624763503,0.8476759178843185,0.8401263909751814,0.834286994552927,0.8361084587932487,0.8066644443532569,0.8776326816761106,0.8494819351169955,0.8411902958046926,0.7576779643759947,0.8539094862540326
emnist,0.8238606487708384,0.7908218877449876,0.8307014919780533,0.8341781237047382,0.800106770569251,0.8262065765597845,0.7956038910386113,0.822122531468214,0.8323419115288189,0.8281838800147423,0.8137229218851102,0.8285668828224815,0.8144439065404679,0.7911113441497093,0.804752389269327,0.8355468158293858,0.7820321426074012,0.827148187790808,0.8181084353645314,0.8240036739866081
kmnist,0.9484359929200424,0.9479740949305044,0.9526576597051217,0.9548513380069966,0.941022344639076,0.9437120917990989,0.9298059189291206,0.8968034018769476,0.9469326997100967,0.942070538863824,0.9526260753213045,0.9543623591638069,0.9459230445279203,0.9313406250555823,0.9474206401228974,0.9454287299548805,0.945521613099975,0.9520445963132218,0.929525792153124,0.9454320301279587
oxford_flowers102,0.6113062151522524,0.6076856601682944,0.6335870476578503,0.6318075144260831,0.6142056820298403,0.6439294865920899,0.6139791215938317,0.6233698846918887,0.6214120730239373,0.636293340414154,0.601978381382331,0.6256479550155453,0.6259086874153789,0.6196564700154775,0.5933284247870159,0.635566325257532,0.6110597639166828,0.6304604319717537,0.6493489415078441,0.6266560321408342
